Compound,0.02 V,0.1 V,0.5 V,1 V,5 V
10⁹ (CFU/ml),-1.92353e-05,-2.62674e-05,-9.02072e-05,-0.000454259,-0.00979
10⁹ (CFU/ml),-1.90198e-05,-2.59756e-05,-8.90618e-05,-0.000449981,-0.00963
10⁹ (CFU/ml),-1.88182e-05,-2.56937e-05,-8.79324e-05,-0.000445519,-0.0095
10⁹ (CFU/ml),-1.86307e-05,-2.54217e-05,-8.68192e-05,-0.000440872,-0.00941
10⁹ (CFU/ml),-1.84571e-05,-2.51596e-05,-8.57221e-05,-0.00043604,-0.00931
10⁹ (CFU/ml),-1.82975e-05,-2.49073e-05,-8.46412e-05,-0.000431025,-0.00925
10⁹ (CFU/ml),-1.81518e-05,-2.46649e-05,-8.35763e-05,-0.000425824,-0.0092
10⁹ (CFU/ml),-1.80202e-05,-2.44323e-05,-8.25276e-05,-0.00042044,-0.00912
10⁹ (CFU/ml),-1.79025e-05,-2.42096e-05,-8.1495e-05,-0.000414871,-0.00901
10⁹ (CFU/ml),-1.77988e-05,-2.39968e-05,-8.04785e-05,-0.000409118,-0.00888
10⁹ (CFU/ml),-1.77091e-05,-2.37939e-05,-7.94781e-05,-0.00040318,-0.00876
10⁹ (CFU/ml),-1.76694e-05,-2.36224e-05,-7.85233e-05,-0.000397176,-0.00863
10⁹ (CFU/ml),-1.76288e-05,-2.34508e-05,-7.77185e-05,-0.000390791,-0.00849
10⁹ (CFU/ml),-1.75925e-05,-2.32847e-05,-7.67285e-05,-0.000384173,-0.00835
10⁹ (CFU/ml),-1.75663e-05,-2.31257e-05,-7.57144e-05,-0.000377366,-0.0082
10⁹ (CFU/ml),-1.75434e-05,-2.29695e-05,-7.47848e-05,-0.00037041,-0.00806
10⁹ (CFU/ml),-1.75269e-05,-2.28186e-05,-7.39494e-05,-0.000363313,-0.0079
10⁹ (CFU/ml),-1.75115e-05,-2.26691e-05,-7.30094e-05,-0.000356137,-0.00774
10⁹ (CFU/ml),-1.75023e-05,-2.25211e-05,-7.20574e-05,-0.000348898,-0.00759
10⁹ (CFU/ml),-1.74906e-05,-2.23744e-05,-7.10836e-05,-0.00034166,-0.00743
10⁹ (CFU/ml),-1.74753e-05,-2.22264e-05,-7.01778e-05,-0.000334467,-0.00727
10⁹ (CFU/ml),-1.74602e-05,-2.20776e-05,-6.94459e-05,-0.000327353,-0.00711
10⁹ (CFU/ml),-1.74422e-05,-2.19306e-05,-6.8593e-05,-0.000320248,-0.00696
10⁹ (CFU/ml),-1.74314e-05,-2.17895e-05,-6.77481e-05,-0.000313095,-0.0068
10⁹ (CFU/ml),-1.74188e-05,-2.16533e-05,-6.69183e-05,-0.000305952,-0.00666
10⁹ (CFU/ml),-1.7407e-05,-2.15201e-05,-6.60883e-05,-0.000298798,-0.00651
10⁹ (CFU/ml),-1.7392e-05,-2.13815e-05,-6.52581e-05,-0.000291681,-0.00635
10⁹ (CFU/ml),-1.73775e-05,-2.12434e-05,-6.44294e-05,-0.000284605,-0.00618
10⁹ (CFU/ml),-1.73564e-05,-2.11049e-05,-6.35989e-05,-0.000277558,-0.00602
10⁹ (CFU/ml),-1.73352e-05,-2.09121e-05,-6.27673e-05,-0.00027055,-0.00587
10⁹ (CFU/ml),-1.73111e-05,-2.08024e-05,-6.19328e-05,-0.000263638,-0.00572
